AÑO;MES;PROVINCIA_DESTINO;TIPO_ORIGEN;GASTO;TRANSACCION
2019;1;A Coruña;Internacional;629216;12358
2019;1;A Coruña;Interregional;1909480;52733
2019;1;A Coruña;Regional;1855198;46511
2019;1;A Coruña;Total Nacional;3764679;99244
2019;1;Albacete;Internacional;77035;1767
2019;1;Albacete;Interregional;937707;23802
2019;1;Albacete;Regional;327011;7279
2019;1;Albacete;Total Nacional;1264718;31081
2019;1;Alicante/Alacant;Internacional;9832723;176353
2019;1;Alicante/Alacant;Interregional;4499982;115224
2019;1;Alicante/Alacant;Regional;1072254;29665
2019;1;Alicante/Alacant;Total Nacional;5572235;144889
2019;1;Almería;Internacional;704203;12426
2019;1;Almería;Interregional;944299;23228
2019;1;Almería;Regional;683782;19746
2019;1;Almería;Total Nacional;1628081;42974
2019;1;Araba/Álava;Internacional;336470;3887
2019;1;Araba/Álava;Interregional;825283;18515
2019;1;Araba/Álava;Regional;539882;11027
2019;1;Araba/Álava;Total Nacional;1365165;29542
2019;1;Asturias;Internacional;387261;8055
2019;1;Asturias;Interregional;2167040;48995
2019;1;Asturias;Total Nacional;2167040;48995
2019;1;Badajoz;Internacional;772081;15039
2019;1;Badajoz;Interregional;1226342;30956
2019;1;Badajoz;Regional;385373;8844
2019;1;Badajoz;Total Nacional;1611715;39800
2019;1;Barcelona;Internacional;33663125;603467
2019;1;Barcelona;Interregional;10809409;315906
2019;1;Barcelona;Regional;10091441;296661
2019;1;Barcelona;Total Nacional;20900850;612567
2019;1;Bizkaia;Internacional;1309951;18294
2019;1;Bizkaia;Interregional;2665845;61412
2019;1;Bizkaia;Regional;866008;17669
2019;1;Bizkaia;Total Nacional;3531852;79081
2019;1;Burgos;Internacional;224991;5005
2019;1;Burgos;Interregional;1174139;27333
2019;1;Burgos;Regional;286081;7271
2019;1;Burgos;Total Nacional;1460220;34604
2019;1;Cantabria;Internacional;244527;4637
2019;1;Cantabria;Interregional;1974375;45873
2019;1;Cantabria;Total Nacional;1974375;45873
2019;1;Castellón/Castelló;Internacional;928918;13360
2019;1;Castellón/Castelló;Interregional;1338814;34605
2019;1;Castellón/Castelló;Regional;627426;19148
2019;1;Castellón/Castelló;Total Nacional;1966240;53753
2019;1;Ceuta;Internacional;170167;2400
2019;1;Ceuta;Interregional;321499;9386
2019;1;Ceuta;Total Nacional;321499;9386
2019;1;Ciudad Real;Internacional;84936;1719
2019;1;Ciudad Real;Interregional;975701;36122
2019;1;Ciudad Real;Regional;279967;6763
2019;1;Ciudad Real;Total Nacional;1255668;42885
2019;1;Cuenca;Internacional;65329;1292
2019;1;Cuenca;Interregional;803065;20542
2019;1;Cuenca;Regional;142807;3571
2019;1;Cuenca;Total Nacional;945871;24113
2019;1;Cáceres;Internacional;427050;8857
2019;1;Cáceres;Interregional;1052257;25463
2019;1;Cáceres;Regional;308764;8747
2019;1;Cáceres;Total Nacional;1361021;34210
2019;1;Cádiz;Internacional;2885971;63395
2019;1;Cádiz;Interregional;2021796;53576
2019;1;Cádiz;Regional;1689070;46583
2019;1;Cádiz;Total Nacional;3710865;100159
2019;1;Córdoba;Internacional;681485;15057
2019;1;Córdoba;Interregional;1025256;25075
2019;1;Córdoba;Regional;1016817;25655
2019;1;Córdoba;Total Nacional;2042073;50730
2019;1;Gipuzkoa;Internacional;1682174;33348
2019;1;Gipuzkoa;Interregional;1252377;30837
2019;1;Gipuzkoa;Regional;565248;13054
2019;1;Gipuzkoa;Total Nacional;1817625;43891
2019;1;Girona;Internacional;13240178;195436
2019;1;Girona;Interregional;669546;19471
2019;1;Girona;Regional;5481330;137270
2019;1;Girona;Total Nacional;6150876;156741
2019;1;Granada;Internacional;1907253;42699
2019;1;Granada;Interregional;2471655;57846
2019;1;Granada;Regional;2291025;60005
2019;1;Granada;Total Nacional;4762680;117851
2019;1;Guadalajara;Internacional;79147;1798
2019;1;Guadalajara;Interregional;1221052;32767
2019;1;Guadalajara;Regional;95061;2511
2019;1;Guadalajara;Total Nacional;1316113;35278
2019;1;Huelva;Internacional;355140;7186
2019;1;Huelva;Interregional;457638;10724
2019;1;Huelva;Regional;693321;18784
2019;1;Huelva;Total Nacional;1150958;29508
2019;1;Huesca;Internacional;414695;6330
2019;1;Huesca;Interregional;1773089;37333
2019;1;Huesca;Regional;277770;6328
2019;1;Huesca;Total Nacional;2050858;43661
2019;1;Illes Balears;Internacional;4078472;48072
2019;1;Illes Balears;Interregional;3061556;82248
2019;1;Illes Balears;Total Nacional;3061556;82248
2019;1;Jaén;Internacional;155804;2748
2019;1;Jaén;Interregional;823149;19597
2019;1;Jaén;Regional;560588;14659
2019;1;Jaén;Total Nacional;1383737;34256
2019;1;La Rioja;Internacional;163741;2131
2019;1;La Rioja;Interregional;1327702;27624
2019;1;La Rioja;Total Nacional;1327702;27624
2019;1;Las Palmas;Internacional;28690446;405683
2019;1;Las Palmas;Interregional;3069047;77770
2019;1;Las Palmas;Regional;1124356;30535
2019;1;Las Palmas;Total Nacional;4193403;108305
2019;1;León;Internacional;141708;2452
2019;1;León;Interregional;1393733;34800
2019;1;León;Regional;281380;6625
2019;1;León;Total Nacional;1675113;41425
2019;1;Lleida;Internacional;3669631;59502
2019;1;Lleida;Interregional;1403633;25654
2019;1;Lleida;Regional;2369899;51429
